name;domain;OUPath;account;prefix
CJV;staff.ucn.muni.cz;OU=CJV,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;CJV-;
CRS;staff.ucn.muni.cz;OU=CRS,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;CRS-;
CTT;staff.ucn.muni.cz;OU=CTT,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;CTT-;
CZS;staff.ucn.muni.cz;OU=CZS,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;CZS-;
ESF;staff.ucn.muni.cz;OU=ESF,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffesf;ESF-;
FAR;staff.ucn.muni.cz;OU=PHARM,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;FAR-;
FSS;staff.ucn.muni.cz;OU=FSS,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstafffss;FSS-;
LAW;staff.ucn.muni.cz;OU=LAW,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstafflaw;LAW-;
MMU;staff.ucn.muni.cz;OU=MMU,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;MMU-;
PHIL;staff.ucn.muni.cz;OU=PHIL,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffphil;FF-;
PRESS;staff.ucn.muni.cz;OU=PRESS,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;MUP-;
Rektorat MU;staff.ucn.muni.cz;OU=RECT,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffrect;RMU-;
Recetox;staff.ucn.muni.cz;OU=RCX,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffrcx;RCX-;
SCI;staff.ucn.muni.cz;OU=SCI,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffsci;SCI-;
Teiresias;staff.ucn.muni.cz;OU=TEIR,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffteir;TEI-;
UVT;staff.ucn.muni.cz;OU=UVT,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaff;UVT-;
ZAM;staff.ucn.muni.cz;OU=ZAM,OU=ROAMING,DC=staff,DC=ucn,DC=muni,DC=cz;staff\addtodomstaffZAM;ZAM-;

